,IDENTIFIER,PLUS,MINUS,MULTIPLY,PERIOD,SEMICOLON,DIVIDE,LESS,EQUAL,LEFTPARENT,RIGHTPARENT,LEFTBRACKET,RIGHTBRACKET,COLON,NUMBER,IF,THEN,ELSE,NOT,OR,AND,PRINT,program,BEGIN,END,RETURN,BOOLEAN,FUNCTION,EOF
<PROGRAM>,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,,,,<IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,,,,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,,,,,,,,,,,,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD,,,,,,program <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT SEMICOLON <DEFINITIONS> <BODY> PERIOD
<DEFINITIONS>,,,,,,,,,,,,,,,,,,,,,,,,<DEF> <DEFINITIONS>,,,,,ε
<DEF>,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,,,,,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,,,,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,,,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,,,,,,,,,,,,,,FUNCTION <IDENTIFIER> LEFTPARENT <FORMALS> RIGHTPARENT COLON <TYPE> <BODY> SEMICOLON,
<FORMALS>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
<NONEMPTYFORMALS>,,,,,,,,,,,<STATEMENTLIST>,,,,,,,,,,,,,,,,,,<FORMAL> <NONEMPTYFORMALSREST>
<FORMAL>,<NONEMPTYFORMALS>,,,,,,,,,,,,,<NONEMPTYFORMALS>,,,,,,,,,,,,,,,ε 
<NONEMPTYFORMALSREST>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<FORMAL> <NONEMPTYFORMALSREST>
<BODY>,,,,,,,,,,,,,,,,,,,,,,,,BEGIN <STATEMENTLIST> END,BEGIN <STATEMENTLIST> END,,,,
<STATEMENTLIST>,,,,,,,,,,,,,,,,,,,,,,,,,,RETURN <EXPR>,,,
<TYPE>,,,,,,,,,,,,,,,NUMBER ,,,,,,,,,,,,BOOLEAN,,
<EXPR>,,,,,,,,,,,<SIMPLEEXPR> <EXPRPRIME>,,,,,,<SIMPLEEXPR> <EXPRPRIME>,<SIMPLEEXPR> <EXPRPRIME>,,,,,,,<SIMPLEEXPR> <EXPRPRIME>,,,,<SIMPLEEXPR> <EXPRPRIME>
<EXPRPRIME>,,,,,,,,LESS <SIMPLEEXPR>,EQUAL <SIMPLEEXPR>,,,,,,,,,,,,,,,,,,,,ε
<SIMPLEEXPR>,,,,,,,,<TERM> <SEPRIME>,<TERM> <SEPRIME>,,<TERM> <SEPRIME>,,,,,,<TERM> <SEPRIME>,<TERM> <SEPRIME>,,,,,,,<TERM> <SEPRIME>,,,,<TERM> <SEPRIME>
<SEPRIME>,,PLUS <TERM> ,MINUS <TERM>,,,,,,,,,,,,,,,,,OR <TERM>,,,,,,,,,ε
<TERM>,, <FACTOR> <TERMPRIME>,<FACTOR> <TERMPRIME>,,,,,<FACTOR> <TERMPRIME>,<FACTOR> <TERMPRIME>,, <FACTOR> <TERMPRIME>,,,,,,<FACTOR> <TERMPRIME>,<FACTOR> <TERMPRIME>,,,,,,,<FACTOR> <TERMPRIME>,,,,<FACTOR> <TERMPRIME>
<TERMPRIME>,,,, MULTIPLY <FACTOR> ,,, DIVIDE <FACTOR>,,,,,,,,,,,,,,AND <FACTOR>,,,,,,,,ε
<FACTOR>,<IDENTIFIER> <FACTORREST>,LEFTPARENT <EXPR> RIGHTPARENT,MINUS <FACTOR> ,LEFTPARENT <EXPR> RIGHTPARENT,,,LEFTPARENT <EXPR> RIGHTPARENT,LEFTPARENT <EXPR> RIGHTPARENT, LEFTPARENT <EXPR> RIGHTPARENT,,LEFTPARENT <EXPR> RIGHTPARENT,,,,,IF <EXPR> THEN <EXPR> ELSE <EXPR> ,IF <EXPR> THEN <EXPR> ELSE <EXPR>,IF <EXPR> THEN <EXPR> ELSE <EXPR>,NOT <FACTOR> ,,,,,,,,,,<IDENTIFIER> <FACTORREST> 
<FACTORREST>,,LEFTPARENT <ACTUALS> RIGHTPARENT , LEFTPARENT <ACTUALS> RIGHTPARENT , LEFTPARENT <ACTUALS> RIGHTPARENT ,,,LEFTPARENT <ACTUALS> RIGHTPARENT , LEFTPARENT <ACTUALS> RIGHTPARENT,LEFTPARENT <ACTUALS> RIGHTPARENT ,LEFTPARENT <ACTUALS> RIGHTPARENT ,LEFTPARENT <ACTUALS> RIGHTPARENT ,,,,,,LEFTPARENT <ACTUALS> RIGHTPARENT ,LEFTPARENT <ACTUALS> RIGHTPARENT ,, LEFTPARENT <ACTUALS> RIGHTPARENT , LEFTPARENT <ACTUALS> RIGHTPARENT ,,,, LEFTPARENT <ACTUALS> RIGHTPARENT,,,,ε
<ACTUALS>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
<NONEMPTYACTUALS>,,,,,,,,,,,<EXPR> <NONEMPTYACTUALSREST>,,,,,,,,,,,,,,,,,,<EXPR> <NONEMPTYACTUALSREST>
<NONEMPTYACTUALSREST>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ε
<LITERAL>,,,,,,,,,,,,,,,<NUMBER>,,,,,,,,,,,,BOOLEAN,,
<PRINTSTATEMENT>,,,,,,,,,,PRINT LEFTPARENT <EXPR> RIGHTPARENT SEMICOLON,PRINT LEFTPARENT <EXPR> RIGHTPARENT SEMICOLON,,,,,,,,,,, PRINT LEFTPARENT <EXPR> RIGHTPARENT SEMICOLON,,,,,,,