,IDENTIFIER,ADD,SUBTRACT,MULTIPLY,PERIOD,SEMICOLON,DIVIDE,LESS,EQUAL,LEFTPARENT,RIGHTPARENT,LEFTBRACKET,RIGHTBRACKET,COLON,NUMBER,IF,THEN,ELSE,NOT,OR,AND,PRINT,program,BEGIN,END,RETURN,BOOLEAN,FUNCTION,EOF
PROGRAM,,,,,,,,,,,,,,,,,,,,,,,PROGRAM IDENTIFIER LEFTPARENT FORMALS RIGHTPARENT SEMICOLON DEFINITIONS BODY PERIOD,,,,,,
DEFINITIONS,,,,,,,,,,,,,,,,,,,,,,,,ε,,,,DEF DEFINITIONS,ε
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCTION IDENTIFIER LEFTPARENT FORMALS RIGHTPARENT COLON TYPE BODY SEMICOLON,
FORMALS,NONEMPTYFORMALS,,,,,,,,,,ε,,,,,,,,,,,,,,,,,,ε
NONEMPTYFORMALS,FORMAL NONEMPTYFORMALSREST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMAL,IDENTIFIER COLON TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONEMPTYFORMALSREST,NONEMPTYFORMALS,,,,,,,,,,ε,,,,,,,,,,,,,,,,,,ε
BODY,,,,,,,,,,,,,,,,,,,,,,,,BEGIN STATEMENTLIST END,,,,,
STATEMENTLIST,,,,,,,,,,,,,,,,,,,,,,PRINTSTATEMENT STATEMENTLIST,,,,RETURN EXPR,,,
TYPE,,,,,,,,,,,,,,,NUMBER,,,,,,,,,,,,BOOLEAN,,
EXPR,SIMPLEEXPR EXPRPRIME,,SIMPLEEXPR EXPRPRIME,,,,,,,SIMPLEEXPR EXPRPRIME,,,,,SIMPLEEXPR EXPRPRIME,SIMPLEEXPR EXPRPRIME,,,SIMPLEEXPR EXPRPRIME,,,,,,,,SIMPLEEXPR EXPRPRIME,,
EXPRPRIME,,,,,,,,LESS SIMPLEEXPR,EQUAL SIMPLEEXPR,,ε,,,,,,ε,ε,,,,,,,ε,,,,ε
SIMPLEEXPR,TERM SEPRIME,,TERM SEPRIME,,,,,,,TERM SEPRIME,,,,,TERM SEPRIME,TERM SEPRIME,,,TERM SEPRIME,,,,,,,,TERM SEPRIME,,
SEPRIME,,ADD TERM,SUBTRACT TERM,,,,,ε,ε,,ε,,,,,,ε,ε,,OR TERM,,,,,ε,,,,ε
TERM,FACTOR TERMPRIME,,FACTOR TERMPRIME,,,,,,,FACTOR TERMPRIME,,,,,FACTOR TERMPRIME,FACTOR TERMPRIME,,,FACTOR TERMPRIME,,,,,,,,FACTOR TERMPRIME,,
TERMPRIME,,ε,ε,MULTIPLY FACTOR,,,DIVIDE FACTOR,ε,ε,,ε,,,,,,ε,ε,,ε,AND FACTOR,,,,ε,,,,ε
FACTOR,IDENTIFIER FACTORREST,,SUBTRACT FACTOR,,,,,,,LEFTPARENT EXPR RIGHTPARENT,,,,,LITERAL,IF EXPR THEN EXPR ELSE EXPR,,,NOT FACTOR,,,,,,,,LITERAL,,
FACTORREST,,ε,ε,ε,,,ε,ε,ε,LEFTPARENT ACTUALS RIGHTPARENT,ε,,,,,,ε,ε,,ε,ε,,,,ε,,,,ε
ACTUALS,NONEMPTYACTUALS,,NONEMPTYACTUALS,,,,,,,NONEMPTYACTUALS,ε,,,,NONEMPTYACTUALS,NONEMPTYACTUALS,,,NONEMPTYACTUALS,,,,,,,,NONEMPTYACTUALS,,ε
NONEMPTYACTUALS,EXPR NONEMPTYACTUALSREST,,EXPR NONEMPTYACTUALSREST,,,,,,,EXPR NONEMPTYACTUALSREST,,,,,EXPR NONEMPTYACTUALSREST,EXPR NONEMPTYACTUALSREST,,,EXPR NONEMPTYACTUALSREST,,,,,,,,EXPR NONEMPTYACTUALSREST,,
NONEMPTYACTUALSREST,NONEMPTYACTUALS,,NONEMPTYACTUALS,,,,,,,NONEMPTYACTUALS,ε,,,,NONEMPTYACTUALS,NONEMPTYACTUALS,,,NONEMPTYACTUALS,,,,,,,,NONEMPTYACTUALS,,ε
LITERAL,,,,,,,,,,,,,,,NUMBER,,,,,,,,,,,,BOOLEAN,,
PRINTSTATEMENT,,,,,,,,,,,,,,,,,,,,,,PRINT LEFTPARENT EXPR RIGHTPARENT SEMICOLON,,,,,,,