,IDENTIFIER,ADD,SUBTRACT,MULTIPLY,PERIOD,SEMICOLON,DIVIDE,LESS,EQUAL,LEFTPARENT,RIGHTPARENT,LEFTBRACKET,RIGHTBRACKET,COLON,COMMA,NUMBER,IF,THEN,ELSE,NOT,OR,AND,PRINT,program,BEGIN,END,RETURN,BOOLEAN,FUNCTION,,EOF
PROGRAM,,,,,,,,,,,,,,,,,,,,,,,,program IDENTIFIER make_identifier LEFTPARENT FORMALS RIGHTPARENT SEMICOLON DEFINITIONS BODY PERIOD make_program,,,,,,,
DEFINITIONS,,,,,,,,,,,,,,,,,,,,,,,,,ε,,,,DEF DEFINITIONS make_definitions,,ε
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCTION IDENTIFIER make_identifier LEFTPARENT FORMALS RIGHTPARENT COLON TYPE BODY SEMICOLON make_def,,
FORMALS,NONEMPTYFORMALS make_formals,,,,,,,,,,ε,,,,,,,,,,,,,,,,,,,,ε
NONEMPTYFORMALS,FORMAL NONEMPTYFORMALSREST ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORMAL,IDENTIFIER make_identifier COLON TYPE make_formal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONEMPTYFORMALSREST,,,,,,,,,,,ε,,,,COMMA NONEMPTYFORMALS,,,,,,,,,,,,,,,,ε
BODY,,,,,,,,,,,,,,,,,,,,,,,,,BEGIN STATEMENTLIST END make_body,,,,,,
STATEMENTLIST,,,,,,,,,,,,,,,,,,,,,,,PRINTSTATEMENT STATEMENTREST,,,,RETURN EXPR,,,,
STATEMENTREST,,,,,,,,,,,,,,,COMMA STATEMENTLIST,,,,,,,,STATEMENTLIST,,,ε,"STATEMENTLIST
",,,,ε
TYPE,,,,,,,,,,,,,,,,NUMBER make_integer,,,,,,,,,,,,BOOLEAN make_boolean,,,
EXPR,SIMPLEEXPR make_simpleexpr EXPRPRIME,,SIMPLEEXPR make_simpleexpr EXPRPRIME,,,,,,,SIMPLEEXPR make_simpleexpr EXPRPRIME,,,,,ε,SIMPLEEXPR make_simpleexpr EXPRPRIME,SIMPLEEXPR make_simpleexpr EXPRPRIME,,,SIMPLEEXPR make_simpleexpr EXPRPRIME,,,,,,,,SIMPLEEXPR make_simpleexpr EXPRPRIME,,,
EXPRPRIME,,,,"MULTIPLY FACTOR
",,,DIVIDE FACTOR,LESS SIMPLEEXPR make_lessthan,EQUAL SIMPLEEXPR make_equalto,,ε,,,,ε,,,ε,ε,,,"AND FACTOR
",,,,ε,,,,,ε
SIMPLEEXPR,TERM SEPRIME,,TERM SEPRIME,,,,,,,TERM SEPRIME,,,,,,TERM SEPRIME,TERM SEPRIME,,,TERM SEPRIME,,,,,,,,TERM SEPRIME,,,
SEPRIME,,ADD TERM make_plus,SUBTRACT TERM make_minus,,,,,ε,ε,,ε,,,,ε,,,ε,ε,,OR TERM make_or,,,,,ε,,,,,ε
TERM,FACTOR TERMPRIME,,FACTOR TERMPRIME,,,,,,,FACTOR TERMPRIME,,,,,,FACTOR TERMPRIME,FACTOR TERMPRIME,,,FACTOR TERMPRIME,,,,,,,,FACTOR TERMPRIME,,,
TERMPRIME,,ε,ε,MULTIPLY FACTOR make_times,,,DIVIDE FACTOR make_divide,ε,ε,,ε,,,,ε,,,ε,ε,,ε,AND FACTOR make_and,,,,ε,,,,,ε
FACTOR,IDENTIFIER make_identifier FACTORREST,,SUBTRACT FACTOR make_negate,,,,,,,LEFTPARENT EXPR RIGHTPARENT,,,,,,LITERAL make_literal,IF EXPR THEN EXPR ELSE EXPR make_if,,,NOT FACTOR make_not,,,,,,,,LITERAL make_literal,,,
FACTORREST,,ε,ε,ε,,,ε,ε,ε,LEFTPARENT ACTUALS RIGHTPARENT,ε,,,,ε,,,ε,ε,,ε,ε,,,,ε,,,,,ε
ACTUALS,NONEMPTYACTUALS,,NONEMPTYACTUALS,,,,,,,NONEMPTYACTUALS,ε,,,,,NONEMPTYACTUALS,NONEMPTYACTUALS,,,NONEMPTYACTUALS,,,,,,,,NONEMPTYACTUALS,,,ε
NONEMPTYACTUALS,EXPR NONEMPTYACTUALSREST,,EXPR NONEMPTYACTUALSREST,,,,,,,EXPR NONEMPTYACTUALSREST,ε,,,,,EXPR NONEMPTYACTUALSREST,EXPR NONEMPTYACTUALSREST,,,EXPR NONEMPTYACTUALSREST,,,,,,,,EXPR NONEMPTYACTUALSREST,,,ε
NONEMPTYACTUALSREST,NONEMPTYACTUALS,,NONEMPTYACTUALS,,,,,,,NONEMPTYACTUALS,ε,,,,COMMA NONEMPTYACTUALS,NONEMPTYACTUALS,NONEMPTYACTUALS,,,NONEMPTYACTUALS,,,,,,,,NONEMPTYACTUALS,,,ε
LITERAL,,,,,,,,,,,,,,,,NUMBER,,,,,,,,,,,,BOOLEAN,,,
PRINTSTATEMENT,,,,,,,,,,,,,,,,,,,,,,,PRINT LEFTPARENT EXPR RIGHTPARENT SEMICOLON make_printstatement,,,,,,,,